[rosout][INFO] 2017-09-22 14:56:00,438: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,439: Throttle_brake -> 46.319093, Throttle --> 46.319093, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,458: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,459: Throttle_brake -> 15.049887, Throttle --> 15.049887, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,478: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,479: Throttle_brake -> 15.100250, Throttle --> 15.100250, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,498: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,499: Throttle_brake -> 15.150117, Throttle --> 15.150117, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,519: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,519: Throttle_brake -> 15.200140, Throttle --> 15.200140, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,538: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,539: Throttle_brake -> 15.251372, Throttle --> 15.251372, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,559: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,559: Throttle_brake -> 15.300034, Throttle --> 15.300034, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,579: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,580: Throttle_brake -> 15.350312, Throttle --> 15.350312, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,599: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,599: Throttle_brake -> 15.401979, Throttle --> 15.401979, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,618: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,619: Throttle_brake -> 15.451590, Throttle --> 15.451590, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,639: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,639: Throttle_brake -> 15.500100, Throttle --> 15.500100, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,659: SpeedCurrent -> 0.165138, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,659: Throttle_brake -> 14.016890, Throttle --> 14.016890, Brake -> 0.000000, Steer -> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,679: SpeedCurrent -> 0.374378, SpeedTarget --> 5.000000, SteerCurrent -> 1.318426, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,679: Throttle_brake -> 13.172832, Throttle --> 13.172832, Brake -> 0.000000, Steer -> 0.583149
[rosout][INFO] 2017-09-22 14:56:00,699: SpeedCurrent -> 0.374378, SpeedTarget --> 5.000000, SteerCurrent -> 1.318426, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,699: Throttle_brake -> 14.522435, Throttle --> 14.522435, Brake -> 0.000000, Steer -> 0.459547
[rosout][INFO] 2017-09-22 14:56:00,723: SpeedCurrent -> 0.374378, SpeedTarget --> 5.000000, SteerCurrent -> 1.318426, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,724: Throttle_brake -> 14.568855, Throttle --> 14.568855, Brake -> 0.000000, Steer -> 0.320494
[rosout][INFO] 2017-09-22 14:56:00,740: SpeedCurrent -> 0.606651, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:56:00,741: Throttle_brake -> 12.206900, Throttle --> 12.206900, Brake -> 0.000000, Steer -> 0.263843
[rosout][INFO] 2017-09-22 14:56:00,758: SpeedCurrent -> 0.705772, SpeedTarget --> 5.000000, SteerCurrent -> 1.001245, SteerTarget --> 0.665551
