[rosout][INFO] 2017-09-22 16:13:11,318: SpeedCurrent -> 0.000001, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,319: Throttle_brake -> 40.594537, Throttle --> 40.594537, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,339: SpeedCurrent -> 0.000001, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,339: Throttle_brake -> 13.244167, Throttle --> 13.244167, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,358: SpeedCurrent -> 0.000001, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,359: Throttle_brake -> 13.289249, Throttle --> 13.289249, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,378: SpeedCurrent -> 0.000001, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,379: Throttle_brake -> 13.332263, Throttle --> 13.332263, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,399: SpeedCurrent -> 0.000001, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,399: Throttle_brake -> 13.375997, Throttle --> 13.375997, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,419: SpeedCurrent -> 0.000001, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,419: Throttle_brake -> 13.420756, Throttle --> 13.420756, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,439: SpeedCurrent -> 0.000001, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,439: Throttle_brake -> 13.464286, Throttle --> 13.464286, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,458: SpeedCurrent -> 0.080669, SpeedTarget --> 4.400000, SteerCurrent -> 0.006261, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,459: Throttle_brake -> 12.751460, Throttle --> 12.751460, Brake -> 0.000000, Steer -> -0.005741
[rosout][INFO] 2017-09-22 16:13:11,479: SpeedCurrent -> 0.080669, SpeedTarget --> 4.400000, SteerCurrent -> 0.006261, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,479: Throttle_brake -> 13.309294, Throttle --> 13.309294, Brake -> 0.000000, Steer -> -0.005118
[rosout][INFO] 2017-09-22 16:13:11,499: SpeedCurrent -> 0.080669, SpeedTarget --> 4.400000, SteerCurrent -> 0.006261, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,499: Throttle_brake -> 13.353548, Throttle --> 13.353548, Brake -> 0.000000, Steer -> -0.004923
[rosout][INFO] 2017-09-22 16:13:11,519: SpeedCurrent -> 0.106485, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,520: Throttle_brake -> 13.158951, Throttle --> 13.158951, Brake -> 0.000000, Steer -> 0.000877
[rosout][INFO] 2017-09-22 16:13:11,539: SpeedCurrent -> 0.105917, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,539: Throttle_brake -> 13.367707, Throttle --> 13.367707, Brake -> 0.000000, Steer -> 0.000570
[rosout][INFO] 2017-09-22 16:13:11,559: SpeedCurrent -> 0.105917, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,559: Throttle_brake -> 13.406830, Throttle --> 13.406830, Brake -> 0.000000, Steer -> 0.000322
[rosout][INFO] 2017-09-22 16:13:11,579: SpeedCurrent -> 0.105917, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,579: Throttle_brake -> 13.449315, Throttle --> 13.449315, Brake -> 0.000000, Steer -> 0.000128
[rosout][INFO] 2017-09-22 16:13:11,599: SpeedCurrent -> 0.104785, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,599: Throttle_brake -> 13.502179, Throttle --> 13.502179, Brake -> 0.000000, Steer -> -0.000041
[rosout][INFO] 2017-09-22 16:13:11,618: SpeedCurrent -> 0.104220, SpeedTarget --> 4.400000, SteerCurrent -> 0.009195, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,619: Throttle_brake -> 13.544281, Throttle --> 13.544281, Brake -> 0.000000, Steer -> -0.008538
[rosout][INFO] 2017-09-22 16:13:11,639: SpeedCurrent -> 0.206579, SpeedTarget --> 4.400000, SteerCurrent -> -0.012797, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,639: Throttle_brake -> 12.651426, Throttle --> 12.651426, Brake -> 0.000000, Steer -> 0.011655
[rosout][INFO] 2017-09-22 16:13:11,658: SpeedCurrent -> 0.266510, SpeedTarget --> 4.400000, SteerCurrent -> 0.146060, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,659: Throttle_brake -> 12.755570, Throttle --> 12.755570, Brake -> 0.000000, Steer -> -0.134754
[rosout][INFO] 2017-09-22 16:13:11,678: SpeedCurrent -> 0.266510, SpeedTarget --> 4.400000, SteerCurrent -> 0.146060, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,679: Throttle_brake -> 13.179257, Throttle --> 13.179257, Brake -> 0.000000, Steer -> -0.122311
[rosout][INFO] 2017-09-22 16:13:11,698: SpeedCurrent -> 0.266510, SpeedTarget --> 4.400000, SteerCurrent -> 0.146060, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,699: Throttle_brake -> 13.220435, Throttle --> 13.220435, Brake -> 0.000000, Steer -> -0.115354
[rosout][INFO] 2017-09-22 16:13:11,719: SpeedCurrent -> 0.731068, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,720: Throttle_brake -> 9.065844, Throttle --> 9.065844, Brake -> 0.000000, Steer -> 0.018207
[rosout][INFO] 2017-09-22 16:13:11,739: SpeedCurrent -> 0.835347, SpeedTarget --> 4.400000, SteerCurrent -> -0.029282, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,739: Throttle_brake -> 10.933871, Throttle --> 10.933871, Brake -> 0.000000, Steer -> 0.039697
[rosout][INFO] 2017-09-22 16:13:11,758: SpeedCurrent -> 0.835347, SpeedTarget --> 4.400000, SteerCurrent -> -0.029282, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,759: Throttle_brake -> 11.628435, Throttle --> 11.628435, Brake -> 0.000000, Steer -> 0.032268
[rosout][INFO] 2017-09-22 16:13:11,779: SpeedCurrent -> 0.835347, SpeedTarget --> 4.400000, SteerCurrent -> -0.029282, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,779: Throttle_brake -> 11.663245, Throttle --> 11.663245, Brake -> 0.000000, Steer -> 0.024385
[rosout][INFO] 2017-09-22 16:13:11,799: SpeedCurrent -> 1.051889, SpeedTarget --> 4.400000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,799: Throttle_brake -> 9.702137, Throttle --> 9.702137, Brake -> 0.000000, Steer -> -0.005215
[rosout][INFO] 2017-09-22 16:13:11,819: SpeedCurrent -> 1.157168, SpeedTarget --> 4.400000, SteerCurrent -> 0.051370, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 16:13:11,819: Throttle_brake -> 10.098080, Throttle --> 10.098080, Brake -> 0.000000, Steer -> -0.052912
