[rospy.client][INFO] 2017-09-22 11:17:57,604: init_node, name[/dbw_node], pid[20984]
[xmlrpc][INFO] 2017-09-22 11:17:57,604: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-09-22 11:17:57,604: Started XML-RPC server [http://10.0.2.15:33591/]
[rospy.init][INFO] 2017-09-22 11:17:57,605: ROS Slave URI: [http://10.0.2.15:33591/]
[rospy.impl.masterslave][INFO] 2017-09-22 11:17:57,605: _ready: http://10.0.2.15:33591/
[xmlrpc][INFO] 2017-09-22 11:17:57,605: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2017-09-22 11:17:57,605: Registering with master node http://localhost:11311
[rospy.init][INFO] 2017-09-22 11:17:57,705: registered with master
[rospy.rosout][INFO] 2017-09-22 11:17:57,705: initializing /rosout core topic
[rospy.rosout][INFO] 2017-09-22 11:17:57,707: connected to core topic /rosout
[rospy.simtime][INFO] 2017-09-22 11:17:57,708: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-09-22 11:17:57,740: topic[/twist_cmd] adding connection to [http://10.0.2.15:43285/], count 0
[rospy.internal][INFO] 2017-09-22 11:17:57,967: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-09-22 11:17:58,032: topic[/vehicle/brake_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 11:17:58,032: topic[/vehicle/throttle_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 11:17:58,036: topic[/vehicle/steering_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 11:17:58,114: topic[/current_velocity] adding connection to [http://10.0.2.15:43325/], count 0
[rospy.internal][INFO] 2017-09-22 11:17:58,115: topic[/vehicle/dbw_enabled] adding connection to [http://10.0.2.15:43325/], count 0
[rosout][INFO] 2017-09-22 11:18:11,100: SpeedCurrent -> 0.000265, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,100: Throttle_brake -> -0.002493, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,120: SpeedCurrent -> 0.000199, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,121: Throttle_brake -> -0.000193, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,143: SpeedCurrent -> 0.000143, SpeedTarget --> 0.000000, SteerCurrent -> 2.192889, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,144: Throttle_brake -> -0.000129, Throttle --> 0.000000, Brake -> 0.000000, Steer -> -2.055834
[rosout][INFO] 2017-09-22 11:18:11,160: SpeedCurrent -> 0.000143, SpeedTarget --> 0.000000, SteerCurrent -> 2.192889, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,161: Throttle_brake -> -0.000434, Throttle --> 0.000000, Brake -> 0.000000, Steer -> -5.139584
[rosout][INFO] 2017-09-22 11:18:11,180: SpeedCurrent -> 0.000143, SpeedTarget --> 0.000000, SteerCurrent -> 2.192889, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,180: Throttle_brake -> -0.000436, Throttle --> 0.000000, Brake -> 0.000000, Steer -> -8.608804
[rosout][INFO] 2017-09-22 11:18:11,200: SpeedCurrent -> 0.000007, SpeedTarget --> 0.000000, SteerCurrent -> -8.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,201: Throttle_brake -> 0.000797, Throttle --> 0.000797, Brake -> 0.000000, Steer -> -2.522190
[rosout][INFO] 2017-09-22 11:18:11,220: SpeedCurrent -> 0.000010, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,221: Throttle_brake -> -0.000064, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 1.059168
[rosout][INFO] 2017-09-22 11:18:11,245: SpeedCurrent -> 0.000010, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:18:11,245: Throttle_brake -> -0.000040, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 3.007483
[rosout][INFO] 2017-09-22 11:18:11,260: SpeedCurrent -> 0.000010, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
