[rospy.client][INFO] 2017-09-22 13:38:17,652: init_node, name[/dbw_node], pid[571]
[xmlrpc][INFO] 2017-09-22 13:38:17,652: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-09-22 13:38:17,652: Started XML-RPC server [http://10.0.2.15:42901/]
[rospy.impl.masterslave][INFO] 2017-09-22 13:38:17,652: _ready: http://10.0.2.15:42901/
[rospy.init][INFO] 2017-09-22 13:38:17,652: ROS Slave URI: [http://10.0.2.15:42901/]
[xmlrpc][INFO] 2017-09-22 13:38:17,653: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2017-09-22 13:38:17,653: Registering with master node http://localhost:11311
[rospy.init][INFO] 2017-09-22 13:38:17,753: registered with master
[rospy.rosout][INFO] 2017-09-22 13:38:17,753: initializing /rosout core topic
[rospy.rosout][INFO] 2017-09-22 13:38:17,755: connected to core topic /rosout
[rospy.simtime][INFO] 2017-09-22 13:38:17,756: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-09-22 13:38:17,827: topic[/twist_cmd] adding connection to [http://10.0.2.15:33557/], count 0
[rospy.internal][INFO] 2017-09-22 13:38:17,934: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-09-22 13:38:18,048: topic[/vehicle/brake_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 13:38:18,049: topic[/vehicle/throttle_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 13:38:18,055: topic[/vehicle/steering_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 13:38:18,093: topic[/current_velocity] adding connection to [http://10.0.2.15:36987/], count 0
[rospy.internal][INFO] 2017-09-22 13:38:18,158: topic[/vehicle/dbw_enabled] adding connection to [http://10.0.2.15:36987/], count 0
[rosout][INFO] 2017-09-22 13:38:46,695: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,696: Throttle_brake -> 84.523590, Throttle --> 84.523590, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,712: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,713: Throttle_brake -> 30.114627, Throttle --> 30.114627, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,732: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,733: Throttle_brake -> 30.200193, Throttle --> 30.200193, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,753: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,753: Throttle_brake -> 30.299781, Throttle --> 30.299781, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,773: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,773: Throttle_brake -> 30.402186, Throttle --> 30.402186, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,793: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,793: Throttle_brake -> 30.501573, Throttle --> 30.501573, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,813: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,814: Throttle_brake -> 30.602503, Throttle --> 30.602503, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,833: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,834: Throttle_brake -> 30.704943, Throttle --> 30.704943, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,852: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,853: Throttle_brake -> 30.804968, Throttle --> 30.804968, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,872: SpeedCurrent -> 0.080669, SpeedTarget --> 10.000000, SteerCurrent -> 0.007604, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,873: Throttle_brake -> 30.153113, Throttle --> 30.153113, Brake -> 0.000000, Steer -> -0.000475
[rosout][INFO] 2017-09-22 13:38:46,894: SpeedCurrent -> 0.108377, SpeedTarget --> 10.000000, SteerCurrent -> -0.002690, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,895: Throttle_brake -> 30.514667, Throttle --> 30.514667, Brake -> 0.000000, Steer -> -0.000545
[rosout][INFO] 2017-09-22 13:38:46,913: SpeedCurrent -> 0.108377, SpeedTarget --> 10.000000, SteerCurrent -> -0.002690, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,913: Throttle_brake -> 30.781538, Throttle --> 30.781538, Brake -> 0.000000, Steer -> -0.000382
[rosout][INFO] 2017-09-22 13:38:46,934: SpeedCurrent -> 0.308790, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,934: Throttle_brake -> 29.077659, Throttle --> 29.077659, Brake -> 0.000000, Steer -> -0.000266
[rosout][INFO] 2017-09-22 13:38:46,953: SpeedCurrent -> 0.395813, SpeedTarget --> 10.000000, SteerCurrent -> 1.885050, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,954: Throttle_brake -> 29.557373, Throttle --> 29.557373, Brake -> 0.000000, Steer -> -0.118000
[rosout][INFO] 2017-09-22 13:38:46,973: SpeedCurrent -> 0.508208, SpeedTarget --> 10.000000, SteerCurrent -> -0.035590, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,976: Throttle_brake -> 29.168955, Throttle --> 29.168955, Brake -> 0.000000, Steer -> -0.174626
[rosout][INFO] 2017-09-22 13:38:46,993: SpeedCurrent -> 0.536479, SpeedTarget --> 10.000000, SteerCurrent -> 0.046007, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:46,994: Throttle_brake -> 29.703557, Throttle --> 29.703557, Brake -> 0.000000, Steer -> -0.198439
[rosout][INFO] 2017-09-22 13:38:47,012: SpeedCurrent -> 0.536479, SpeedTarget --> 10.000000, SteerCurrent -> 0.046007, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,013: Throttle_brake -> 29.975015, Throttle --> 29.975015, Brake -> 0.000000, Steer -> -0.202307
[rosout][INFO] 2017-09-22 13:38:47,033: SpeedCurrent -> 0.742012, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,033: Throttle_brake -> 28.212629, Throttle --> 28.212629, Brake -> 0.000000, Steer -> -0.191839
[rosout][INFO] 2017-09-22 13:38:47,053: SpeedCurrent -> 0.844012, SpeedTarget --> 10.000000, SteerCurrent -> 0.036156, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,053: Throttle_brake -> 28.588505, Throttle --> 28.588505, Brake -> 0.000000, Steer -> -0.176220
[rosout][INFO] 2017-09-22 13:38:47,073: SpeedCurrent -> 0.956139, SpeedTarget --> 10.000000, SteerCurrent -> -0.159002, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,073: Throttle_brake -> 28.294910, Throttle --> 28.294910, Brake -> 0.000000, Steer -> -0.146483
[rosout][INFO] 2017-09-22 13:38:47,092: SpeedCurrent -> 0.961480, SpeedTarget --> 10.000000, SteerCurrent -> -0.152564, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,093: Throttle_brake -> 29.032683, Throttle --> 29.032683, Brake -> 0.000000, Steer -> -0.111066
[rosout][INFO] 2017-09-22 13:38:47,113: SpeedCurrent -> 0.961480, SpeedTarget --> 10.000000, SteerCurrent -> -0.152564, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,113: Throttle_brake -> 29.154851, Throttle --> 29.154851, Brake -> 0.000000, Steer -> -0.074667
[rosout][INFO] 2017-09-22 13:38:47,132: SpeedCurrent -> 1.159914, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,133: Throttle_brake -> 27.378700, Throttle --> 27.378700, Brake -> 0.000000, Steer -> -0.049525
[rosout][INFO] 2017-09-22 13:38:47,152: SpeedCurrent -> 1.372726, SpeedTarget --> 10.000000, SteerCurrent -> -0.129827, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,153: Throttle_brake -> 26.771725, Throttle --> 26.771725, Brake -> 0.000000, Steer -> -0.024174
[rosout][INFO] 2017-09-22 13:38:47,172: SpeedCurrent -> 1.384451, SpeedTarget --> 10.000000, SteerCurrent -> -0.093823, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,173: Throttle_brake -> 28.078119, Throttle --> 28.078119, Brake -> 0.000000, Steer -> -0.002539
[rosout][INFO] 2017-09-22 13:38:47,193: SpeedCurrent -> 1.384451, SpeedTarget --> 10.000000, SteerCurrent -> -0.093823, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,193: Throttle_brake -> 28.237606, Throttle --> 28.237606, Brake -> 0.000000, Steer -> 0.015653
[rosout][INFO] 2017-09-22 13:38:47,213: SpeedCurrent -> 1.384451, SpeedTarget --> 10.000000, SteerCurrent -> -0.093823, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,213: Throttle_brake -> 28.324916, Throttle --> 28.324916, Brake -> 0.000000, Steer -> 0.030772
[rosout][INFO] 2017-09-22 13:38:47,233: SpeedCurrent -> 1.378077, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,233: Throttle_brake -> 28.470655, Throttle --> 28.470655, Brake -> 0.000000, Steer -> 0.037353
[rosout][INFO] 2017-09-22 13:38:47,252: SpeedCurrent -> 1.374948, SpeedTarget --> 10.000000, SteerCurrent -> -0.062450, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,253: Throttle_brake -> 28.546265, Throttle --> 28.546265, Brake -> 0.000000, Steer -> 0.042623
[rosout][INFO] 2017-09-22 13:38:47,273: SpeedCurrent -> 1.371821, SpeedTarget --> 10.000000, SteerCurrent -> -0.007911, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,273: Throttle_brake -> 28.638965, Throttle --> 28.638965, Brake -> 0.000000, Steer -> 0.043419
[rosout][INFO] 2017-09-22 13:38:47,292: SpeedCurrent -> 1.368701, SpeedTarget --> 10.000000, SteerCurrent -> 0.010383, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,293: Throttle_brake -> 28.737821, Throttle --> 28.737821, Brake -> 0.000000, Steer -> 0.040503
[rosout][INFO] 2017-09-22 13:38:47,313: SpeedCurrent -> 1.368701, SpeedTarget --> 10.000000, SteerCurrent -> 0.010383, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,313: Throttle_brake -> 28.802413, Throttle --> 28.802413, Brake -> 0.000000, Steer -> 0.035683
[rosout][INFO] 2017-09-22 13:38:47,333: SpeedCurrent -> 1.362483, SpeedTarget --> 10.000000, SteerCurrent -> 0.017687, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,333: Throttle_brake -> 28.947912, Throttle --> 28.947912, Brake -> 0.000000, Steer -> 0.029636
[rosout][INFO] 2017-09-22 13:38:47,353: SpeedCurrent -> 1.359384, SpeedTarget --> 10.000000, SteerCurrent -> 0.151750, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,354: Throttle_brake -> 29.024271, Throttle --> 29.024271, Brake -> 0.000000, Steer -> 0.014898
[rosout][INFO] 2017-09-22 13:38:47,372: SpeedCurrent -> 1.356291, SpeedTarget --> 10.000000, SteerCurrent -> 0.029521, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,373: Throttle_brake -> 29.122925, Throttle --> 29.122925, Brake -> 0.000000, Steer -> 0.003831
[rosout][INFO] 2017-09-22 13:38:47,395: SpeedCurrent -> 1.353205, SpeedTarget --> 10.000000, SteerCurrent -> 0.027606, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,395: Throttle_brake -> 29.211049, Throttle --> 29.211049, Brake -> 0.000000, Steer -> -0.004358
[rosout][INFO] 2017-09-22 13:38:47,412: SpeedCurrent -> 1.353205, SpeedTarget --> 10.000000, SteerCurrent -> 0.027606, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,413: Throttle_brake -> 29.291270, Throttle --> 29.291270, Brake -> 0.000000, Steer -> -0.010418
[rosout][INFO] 2017-09-22 13:38:47,433: SpeedCurrent -> 1.353205, SpeedTarget --> 10.000000, SteerCurrent -> 0.027606, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,433: Throttle_brake -> 29.366917, Throttle --> 29.366917, Brake -> 0.000000, Steer -> -0.014901
[rosout][INFO] 2017-09-22 13:38:47,452: SpeedCurrent -> 1.353205, SpeedTarget --> 10.000000, SteerCurrent -> 0.027606, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,453: Throttle_brake -> 29.455369, Throttle --> 29.455369, Brake -> 0.000000, Steer -> -0.018216
[rosout][INFO] 2017-09-22 13:38:47,473: SpeedCurrent -> 1.337864, SpeedTarget --> 10.000000, SteerCurrent -> 0.006558, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,473: Throttle_brake -> 29.679651, Throttle --> 29.679651, Brake -> 0.000000, Steer -> -0.019353
[rosout][INFO] 2017-09-22 13:38:47,492: SpeedCurrent -> 1.337864, SpeedTarget --> 10.000000, SteerCurrent -> 0.006558, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,493: Throttle_brake -> 29.674683, Throttle --> 29.674683, Brake -> 0.000000, Steer -> -0.019192
[rosout][INFO] 2017-09-22 13:38:47,513: SpeedCurrent -> 1.337864, SpeedTarget --> 10.000000, SteerCurrent -> 0.006558, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,514: Throttle_brake -> 29.759126, Throttle --> 29.759126, Brake -> 0.000000, Steer -> -0.018312
[rosout][INFO] 2017-09-22 13:38:47,532: SpeedCurrent -> 1.331771, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,533: Throttle_brake -> 29.908442, Throttle --> 29.908442, Brake -> 0.000000, Steer -> -0.016673
[rosout][INFO] 2017-09-22 13:38:47,552: SpeedCurrent -> 1.325702, SpeedTarget --> 10.000000, SteerCurrent -> -0.022531, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,553: Throttle_brake -> 30.006545, Throttle --> 30.006545, Brake -> 0.000000, Steer -> -0.013300
[rosout][INFO] 2017-09-22 13:38:47,572: SpeedCurrent -> 1.416058, SpeedTarget --> 10.000000, SteerCurrent -> -0.015613, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,573: Throttle_brake -> 29.219282, Throttle --> 29.219282, Brake -> 0.000000, Steer -> -0.009596
[rosout][INFO] 2017-09-22 13:38:47,593: SpeedCurrent -> 1.416058, SpeedTarget --> 10.000000, SteerCurrent -> -0.015613, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,593: Throttle_brake -> 29.870368, Throttle --> 29.870368, Brake -> 0.000000, Steer -> -0.005937
[rosout][INFO] 2017-09-22 13:38:47,613: SpeedCurrent -> 1.416058, SpeedTarget --> 10.000000, SteerCurrent -> -0.015613, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,613: Throttle_brake -> 29.958281, Throttle --> 29.958281, Brake -> 0.000000, Steer -> -0.002532
[rosout][INFO] 2017-09-22 13:38:47,633: SpeedCurrent -> 1.732022, SpeedTarget --> 10.000000, SteerCurrent -> -0.054525, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,633: Throttle_brake -> 27.112402, Throttle --> 27.112402, Brake -> 0.000000, Steer -> 0.002949
[rosout][INFO] 2017-09-22 13:38:47,652: SpeedCurrent -> 1.745086, SpeedTarget --> 10.000000, SteerCurrent -> -0.009613, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,653: Throttle_brake -> 29.056113, Throttle --> 29.056113, Brake -> 0.000000, Steer -> 0.006449
[rosout][INFO] 2017-09-22 13:38:47,673: SpeedCurrent -> 1.745086, SpeedTarget --> 10.000000, SteerCurrent -> -0.009613, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,674: Throttle_brake -> 29.220326, Throttle --> 29.220326, Brake -> 0.000000, Steer -> 0.008616
[rosout][INFO] 2017-09-22 13:38:47,693: SpeedCurrent -> 1.832725, SpeedTarget --> 10.000000, SteerCurrent -> -0.002116, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,693: Throttle_brake -> 28.477771, Throttle --> 28.477771, Brake -> 0.000000, Steer -> 0.009428
[rosout][INFO] 2017-09-22 13:38:47,712: SpeedCurrent -> 1.832725, SpeedTarget --> 10.000000, SteerCurrent -> -0.002116, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,713: Throttle_brake -> 29.123082, Throttle --> 29.123082, Brake -> 0.000000, Steer -> 0.009428
[rosout][INFO] 2017-09-22 13:38:47,733: SpeedCurrent -> 1.832725, SpeedTarget --> 10.000000, SteerCurrent -> -0.002116, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,733: Throttle_brake -> 29.203338, Throttle --> 29.203338, Brake -> 0.000000, Steer -> 0.008971
[rosout][INFO] 2017-09-22 13:38:47,752: SpeedCurrent -> 2.144906, SpeedTarget --> 10.000000, SteerCurrent -> 0.032252, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,753: Throttle_brake -> 26.344880, Throttle --> 26.344880, Brake -> 0.000000, Steer -> 0.006137
[rosout][INFO] 2017-09-22 13:38:47,772: SpeedCurrent -> 2.248482, SpeedTarget --> 10.000000, SteerCurrent -> 0.006066, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,773: Throttle_brake -> 27.468583, Throttle --> 27.468583, Brake -> 0.000000, Steer -> 0.003781
[rosout][INFO] 2017-09-22 13:38:47,792: SpeedCurrent -> 2.264401, SpeedTarget --> 10.000000, SteerCurrent -> 0.004054, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,793: Throttle_brake -> 28.046581, Throttle --> 28.046581, Brake -> 0.000000, Steer -> 0.001966
[rosout][INFO] 2017-09-22 13:38:47,813: SpeedCurrent -> 2.264401, SpeedTarget --> 10.000000, SteerCurrent -> 0.004054, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,813: Throttle_brake -> 28.223427, Throttle --> 28.223427, Brake -> 0.000000, Steer -> 0.000568
[rosout][INFO] 2017-09-22 13:38:47,833: SpeedCurrent -> 2.264401, SpeedTarget --> 10.000000, SteerCurrent -> 0.004054, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,833: Throttle_brake -> 28.302856, Throttle --> 28.302856, Brake -> 0.000000, Steer -> -0.000507
[rosout][INFO] 2017-09-22 13:38:47,852: SpeedCurrent -> 2.249561, SpeedTarget --> 10.000000, SteerCurrent -> 0.019203, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,853: Throttle_brake -> 28.520123, Throttle --> 28.520123, Brake -> 0.000000, Steer -> -0.002280
[rosout][INFO] 2017-09-22 13:38:47,872: SpeedCurrent -> 2.332435, SpeedTarget --> 10.000000, SteerCurrent -> 0.002545, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,873: Throttle_brake -> 27.731968, Throttle --> 27.731968, Brake -> 0.000000, Steer -> -0.003294
[rosout][INFO] 2017-09-22 13:38:47,893: SpeedCurrent -> 2.435647, SpeedTarget --> 10.000000, SteerCurrent -> 0.001675, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,893: Throttle_brake -> 27.390420, Throttle --> 27.390420, Brake -> 0.000000, Steer -> -0.003763
[rosout][INFO] 2017-09-22 13:38:47,912: SpeedCurrent -> 2.435647, SpeedTarget --> 10.000000, SteerCurrent -> 0.001675, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,913: Throttle_brake -> 28.096248, Throttle --> 28.096248, Brake -> 0.000000, Steer -> -0.003896
[rosout][INFO] 2017-09-22 13:38:47,932: SpeedCurrent -> 2.447249, SpeedTarget --> 10.000000, SteerCurrent -> -0.000285, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,933: Throttle_brake -> 28.063028, Throttle --> 28.063028, Brake -> 0.000000, Steer -> -0.003710
[rosout][INFO] 2017-09-22 13:38:47,952: SpeedCurrent -> 2.441966, SpeedTarget --> 10.000000, SteerCurrent -> -0.003998, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,953: Throttle_brake -> 28.260149, Throttle --> 28.260149, Brake -> 0.000000, Steer -> -0.003124
[rosout][INFO] 2017-09-22 13:38:47,972: SpeedCurrent -> 2.436692, SpeedTarget --> 10.000000, SteerCurrent -> -0.002063, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,973: Throttle_brake -> 28.350833, Throttle --> 28.350833, Brake -> 0.000000, Steer -> -0.002469
[rosout][INFO] 2017-09-22 13:38:47,994: SpeedCurrent -> 2.517716, SpeedTarget --> 10.000000, SteerCurrent -> -0.002577, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:47,995: Throttle_brake -> 27.689764, Throttle --> 27.689764, Brake -> 0.000000, Steer -> -0.001786
[rosout][INFO] 2017-09-22 13:38:48,012: SpeedCurrent -> 2.517716, SpeedTarget --> 10.000000, SteerCurrent -> -0.002577, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,013: Throttle_brake -> 28.232730, Throttle --> 28.232730, Brake -> 0.000000, Steer -> -0.001129
[rosout][INFO] 2017-09-22 13:38:48,032: SpeedCurrent -> 2.517716, SpeedTarget --> 10.000000, SteerCurrent -> -0.002577, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,033: Throttle_brake -> 28.300060, Throttle --> 28.300060, Brake -> 0.000000, Steer -> -0.000528
[rosout][INFO] 2017-09-22 13:38:48,053: SpeedCurrent -> 2.524165, SpeedTarget --> 10.000000, SteerCurrent -> -0.008537, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,053: Throttle_brake -> 28.316282, Throttle --> 28.316282, Brake -> 0.000000, Steer -> 0.000377
[rosout][INFO] 2017-09-22 13:38:48,073: SpeedCurrent -> 2.604327, SpeedTarget --> 10.000000, SteerCurrent -> -0.001844, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,073: Throttle_brake -> 27.690663, Throttle --> 27.690663, Brake -> 0.000000, Steer -> 0.000978
[rosout][INFO] 2017-09-22 13:38:48,092: SpeedCurrent -> 2.707013, SpeedTarget --> 10.000000, SteerCurrent -> -0.001022, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,093: Throttle_brake -> 27.298616, Throttle --> 27.298616, Brake -> 0.000000, Steer -> 0.001318
[rosout][INFO] 2017-09-22 13:38:48,112: SpeedCurrent -> 2.707013, SpeedTarget --> 10.000000, SteerCurrent -> -0.001022, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,113: Throttle_brake -> 28.028753, Throttle --> 28.028753, Brake -> 0.000000, Steer -> 0.001491
[rosout][INFO] 2017-09-22 13:38:48,132: SpeedCurrent -> 2.707013, SpeedTarget --> 10.000000, SteerCurrent -> -0.001022, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,133: Throttle_brake -> 28.101631, Throttle --> 28.101631, Brake -> 0.000000, Steer -> 0.001559
[rosout][INFO] 2017-09-22 13:38:48,152: SpeedCurrent -> 2.713793, SpeedTarget --> 10.000000, SteerCurrent -> 0.000650, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,152: Throttle_brake -> 28.111740, Throttle --> 28.111740, Brake -> 0.000000, Steer -> 0.001460
[rosout][INFO] 2017-09-22 13:38:48,172: SpeedCurrent -> 2.707968, SpeedTarget --> 10.000000, SteerCurrent -> 0.001060, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,173: Throttle_brake -> 28.280745, Throttle --> 28.280745, Brake -> 0.000000, Steer -> 0.001246
[rosout][INFO] 2017-09-22 13:38:48,192: SpeedCurrent -> 2.702155, SpeedTarget --> 10.000000, SteerCurrent -> 0.000607, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:38:48,193: Throttle_brake -> 28.371310, Throttle --> 28.371310, Brake -> 0.000000, Steer -> 0.001010
[rosout][INFO] 2017-09-22 13:38:48,212: SpeedCurrent -> 2.702155, SpeedTarget --> 10.000000, SteerCurrent -> 0.000607, SteerTarget --> 0.000000
