[rospy.client][INFO] 2017-09-22 11:08:11,195: init_node, name[/dbw_node], pid[19727]
[xmlrpc][INFO] 2017-09-22 11:08:11,196: XML-RPC server binding to 0.0.0.0:0
[rospy.init][INFO] 2017-09-22 11:08:11,196: ROS Slave URI: [http://10.0.2.15:36673/]
[xmlrpc][INFO] 2017-09-22 11:08:11,196: Started XML-RPC server [http://10.0.2.15:36673/]
[rospy.impl.masterslave][INFO] 2017-09-22 11:08:11,196: _ready: http://10.0.2.15:36673/
[xmlrpc][INFO] 2017-09-22 11:08:11,196: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2017-09-22 11:08:11,197: Registering with master node http://localhost:11311
[rospy.init][INFO] 2017-09-22 11:08:11,297: registered with master
[rospy.rosout][INFO] 2017-09-22 11:08:11,297: initializing /rosout core topic
[rospy.rosout][INFO] 2017-09-22 11:08:11,299: connected to core topic /rosout
[rospy.simtime][INFO] 2017-09-22 11:08:11,300: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-09-22 11:08:11,322: topic[/twist_cmd] adding connection to [http://10.0.2.15:40639/], count 0
[rospy.internal][INFO] 2017-09-22 11:08:11,564: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-09-22 11:08:11,612: topic[/vehicle/brake_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 11:08:11,613: topic[/vehicle/throttle_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 11:08:11,613: topic[/vehicle/steering_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 11:08:11,692: topic[/vehicle/dbw_enabled] adding connection to [http://10.0.2.15:38157/], count 0
[rospy.internal][INFO] 2017-09-22 11:08:11,693: topic[/current_velocity] adding connection to [http://10.0.2.15:38157/], count 0
[rosout][INFO] 2017-09-22 11:08:27,381: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,382: Throttle_brake -> -0.000007, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,401: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,401: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,421: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,422: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,441: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,441: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,461: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,461: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,481: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,481: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:08:27,501: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
