[rospy.client][INFO] 2017-09-22 13:30:37,511: init_node, name[/dbw_node], pid[31741]
[xmlrpc][INFO] 2017-09-22 13:30:37,511: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-09-22 13:30:37,512: Started XML-RPC server [http://10.0.2.15:45437/]
[rospy.impl.masterslave][INFO] 2017-09-22 13:30:37,512: _ready: http://10.0.2.15:45437/
[rospy.init][INFO] 2017-09-22 13:30:37,512: ROS Slave URI: [http://10.0.2.15:45437/]
[rospy.registration][INFO] 2017-09-22 13:30:37,514: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2017-09-22 13:30:37,517: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-09-22 13:30:37,614: registered with master
[rospy.rosout][INFO] 2017-09-22 13:30:37,614: initializing /rosout core topic
[rospy.rosout][INFO] 2017-09-22 13:30:37,616: connected to core topic /rosout
[rospy.simtime][INFO] 2017-09-22 13:30:37,617: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-09-22 13:30:37,683: topic[/twist_cmd] adding connection to [http://10.0.2.15:45157/], count 0
[rospy.internal][INFO] 2017-09-22 13:30:37,859: topic[/vehicle/throttle_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 13:30:37,859: topic[/vehicle/brake_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 13:30:37,860: topic[/vehicle/steering_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 13:30:37,911: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-09-22 13:30:37,955: topic[/vehicle/dbw_enabled] adding connection to [http://10.0.2.15:39891/], count 0
[rospy.internal][INFO] 2017-09-22 13:30:37,957: topic[/current_velocity] adding connection to [http://10.0.2.15:39891/], count 0
[rosout][INFO] 2017-09-22 13:30:55,598: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:30:55,599: Throttle_brake -> 95.862837, Throttle --> 95.862837, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:30:55,618: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:30:55,619: Throttle_brake -> 30.094892, Throttle --> 30.094892, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:30:55,639: SpeedCurrent -> 0.000001, SpeedTarget --> 10.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:30:55,639: Throttle_brake -> 30.194886, Throttle --> 30.194886, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:30:55,658: SpeedCurrent -> 0.080669, SpeedTarget --> 10.000000, SteerCurrent -> 0.006293, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:30:55,659: Throttle_brake -> 29.538568, Throttle --> 29.538568, Brake -> 0.000000, Steer -> -0.000787
[rosout][INFO] 2017-09-22 13:30:55,678: SpeedCurrent -> 0.159638, SpeedTarget --> 10.000000, SteerCurrent -> -0.149765, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:30:55,679: Throttle_brake -> 29.422379, Throttle --> 29.422379, Brake -> 0.000000, Steer -> 0.017541
[rosout][INFO] 2017-09-22 13:30:55,698: SpeedCurrent -> 0.159638, SpeedTarget --> 10.000000, SteerCurrent -> -0.149765, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:30:55,699: Throttle_brake -> 30.013849, Throttle --> 30.013849, Brake -> 0.000000, Steer -> 0.045474
[rosout][INFO] 2017-09-22 13:30:55,719: SpeedCurrent -> 0.159638, SpeedTarget --> 10.000000, SteerCurrent -> -0.149765, SteerTarget --> 0.000000
