[rospy.client][INFO] 2017-09-22 12:41:32,908: init_node, name[/dbw_node], pid[29504]
[xmlrpc][INFO] 2017-09-22 12:41:32,908: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-09-22 12:41:32,908: Started XML-RPC server [http://10.0.2.15:35317/]
[rospy.init][INFO] 2017-09-22 12:41:32,909: ROS Slave URI: [http://10.0.2.15:35317/]
[rospy.impl.masterslave][INFO] 2017-09-22 12:41:32,908: _ready: http://10.0.2.15:35317/
[xmlrpc][INFO] 2017-09-22 12:41:32,909: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2017-09-22 12:41:32,909: Registering with master node http://localhost:11311
[rospy.init][INFO] 2017-09-22 12:41:33,009: registered with master
[rospy.rosout][INFO] 2017-09-22 12:41:33,009: initializing /rosout core topic
[rospy.rosout][INFO] 2017-09-22 12:41:33,011: connected to core topic /rosout
[rospy.simtime][INFO] 2017-09-22 12:41:33,012: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-09-22 12:41:33,041: topic[/twist_cmd] adding connection to [http://10.0.2.15:42827/], count 0
[rospy.internal][INFO] 2017-09-22 12:41:33,320: topic[/vehicle/throttle_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 12:41:33,321: topic[/vehicle/steering_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 12:41:33,321: topic[/vehicle/brake_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 12:41:33,362: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-09-22 12:41:33,409: topic[/vehicle/dbw_enabled] adding connection to [http://10.0.2.15:42755/], count 0
[rospy.internal][INFO] 2017-09-22 12:41:33,410: topic[/current_velocity] adding connection to [http://10.0.2.15:42755/], count 0
[rosout][INFO] 2017-09-22 12:41:48,217: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,217: Throttle_brake -> 46.248160, Throttle --> 46.248160, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,237: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,237: Throttle_brake -> 15.050001, Throttle --> 15.050001, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,257: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,257: Throttle_brake -> 15.100197, Throttle --> 15.100197, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,277: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,277: Throttle_brake -> 15.150058, Throttle --> 15.150058, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,297: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,298: Throttle_brake -> 15.199986, Throttle --> 15.199986, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,317: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,317: Throttle_brake -> 15.251268, Throttle --> 15.251268, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:41:48,337: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
