[rosout][INFO] 2017-09-22 14:51:49,657: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,657: Throttle_brake -> 46.218761, Throttle --> 46.218761, Brake -> 0.000000, Steer -> 0.443967
[rosout][INFO] 2017-09-22 14:51:49,678: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,678: Throttle_brake -> 15.050048, Throttle --> 15.050048, Brake -> 0.000000, Steer -> 0.443967
[rosout][INFO] 2017-09-22 14:51:49,697: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,697: Throttle_brake -> 15.101208, Throttle --> 15.101208, Brake -> 0.000000, Steer -> 0.443967
[rosout][INFO] 2017-09-22 14:51:49,717: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,718: Throttle_brake -> 15.149965, Throttle --> 15.149965, Brake -> 0.000000, Steer -> 0.443967
[rosout][INFO] 2017-09-22 14:51:49,739: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,740: Throttle_brake -> 15.201133, Throttle --> 15.201133, Brake -> 0.000000, Steer -> 0.443967
[rosout][INFO] 2017-09-22 14:51:49,757: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,758: Throttle_brake -> 15.253803, Throttle --> 15.253803, Brake -> 0.000000, Steer -> 0.443967
[rosout][INFO] 2017-09-22 14:51:49,777: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,778: Throttle_brake -> 15.300138, Throttle --> 15.300138, Brake -> 0.000000, Steer -> 0.443967
[rosout][INFO] 2017-09-22 14:51:49,798: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,798: Throttle_brake -> 15.350128, Throttle --> 15.350128, Brake -> 0.000000, Steer -> 0.443967
[rosout][INFO] 2017-09-22 14:51:49,817: SpeedCurrent -> 0.285073, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,817: Throttle_brake -> 12.707751, Throttle --> 12.707751, Brake -> 0.000000, Steer -> 0.443967
[rosout][INFO] 2017-09-22 14:51:49,837: SpeedCurrent -> 0.501934, SpeedTarget --> 5.000000, SteerCurrent -> 0.685727, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,837: Throttle_brake -> 12.591146, Throttle --> 12.591146, Brake -> 0.000000, Steer -> 0.358251
[rosout][INFO] 2017-09-22 14:51:49,857: SpeedCurrent -> 0.501934, SpeedTarget --> 5.000000, SteerCurrent -> 0.685727, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,857: Throttle_brake -> 13.986420, Throttle --> 13.986420, Brake -> 0.000000, Steer -> 0.229677
[rosout][INFO] 2017-09-22 14:51:49,877: SpeedCurrent -> 0.501934, SpeedTarget --> 5.000000, SteerCurrent -> 0.685727, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,878: Throttle_brake -> 14.031276, Throttle --> 14.031276, Brake -> 0.000000, Steer -> 0.085032
[rosout][INFO] 2017-09-22 14:51:49,897: SpeedCurrent -> 0.501934, SpeedTarget --> 5.000000, SteerCurrent -> 0.685727, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,898: Throttle_brake -> 14.076205, Throttle --> 14.076205, Brake -> 0.000000, Steer -> -0.059614
[rosout][INFO] 2017-09-22 14:51:49,917: SpeedCurrent -> 0.525400, SpeedTarget --> 5.000000, SteerCurrent -> 0.731425, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,917: Throttle_brake -> 13.902575, Throttle --> 13.902575, Brake -> 0.000000, Steer -> -0.200931
[rosout][INFO] 2017-09-22 14:51:49,937: SpeedCurrent -> 0.522582, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,938: Throttle_brake -> 14.121058, Throttle --> 14.121058, Brake -> 0.000000, Steer -> -0.240116
[rosout][INFO] 2017-09-22 14:51:49,958: SpeedCurrent -> 0.522582, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,959: Throttle_brake -> 14.149959, Throttle --> 14.149959, Brake -> 0.000000, Steer -> -0.219403
[rosout][INFO] 2017-09-22 14:51:49,977: SpeedCurrent -> 0.522582, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,978: Throttle_brake -> 14.196998, Throttle --> 14.196998, Brake -> 0.000000, Steer -> -0.166291
[rosout][INFO] 2017-09-22 14:51:49,997: SpeedCurrent -> 0.716100, SpeedTarget --> 5.000000, SteerCurrent -> -0.012150, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:49,997: Throttle_brake -> 12.414506, Throttle --> 12.414506, Brake -> 0.000000, Steer -> -0.096755
[rosout][INFO] 2017-09-22 14:51:50,017: SpeedCurrent -> 0.945015, SpeedTarget --> 5.000000, SteerCurrent -> -0.399435, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,019: Throttle_brake -> 11.618154, Throttle --> 11.618154, Brake -> 0.000000, Steer -> 0.026083
[rosout][INFO] 2017-09-22 14:51:50,037: SpeedCurrent -> 0.948805, SpeedTarget --> 5.000000, SteerCurrent -> -0.110018, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,038: Throttle_brake -> 13.020454, Throttle --> 13.020454, Brake -> 0.000000, Steer -> 0.135049
[rosout][INFO] 2017-09-22 14:51:50,057: SpeedCurrent -> 0.948805, SpeedTarget --> 5.000000, SteerCurrent -> -0.110018, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,058: Throttle_brake -> 13.084676, Throttle --> 13.084676, Brake -> 0.000000, Steer -> 0.229403
[rosout][INFO] 2017-09-22 14:51:50,077: SpeedCurrent -> 0.948805, SpeedTarget --> 5.000000, SteerCurrent -> -0.110018, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,078: Throttle_brake -> 13.125244, Throttle --> 13.125244, Brake -> 0.000000, Steer -> 0.309639
[rosout][INFO] 2017-09-22 14:51:50,097: SpeedCurrent -> 0.944213, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,097: Throttle_brake -> 13.208233, Throttle --> 13.208233, Brake -> 0.000000, Steer -> 0.363167
[rosout][INFO] 2017-09-22 14:51:50,117: SpeedCurrent -> 0.939705, SpeedTarget --> 5.000000, SteerCurrent -> 0.030022, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,117: Throttle_brake -> 13.260621, Throttle --> 13.260621, Brake -> 0.000000, Steer -> 0.394574
[rosout][INFO] 2017-09-22 14:51:50,138: SpeedCurrent -> 0.937379, SpeedTarget --> 5.000000, SteerCurrent -> 0.156381, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,138: Throttle_brake -> 13.294383, Throttle --> 13.294383, Brake -> 0.000000, Steer -> 0.395780
[rosout][INFO] 2017-09-22 14:51:50,157: SpeedCurrent -> 0.937379, SpeedTarget --> 5.000000, SteerCurrent -> 0.156381, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,157: Throttle_brake -> 13.321918, Throttle --> 13.321918, Brake -> 0.000000, Steer -> 0.379922
[rosout][INFO] 2017-09-22 14:51:50,178: SpeedCurrent -> 0.937379, SpeedTarget --> 5.000000, SteerCurrent -> 0.156381, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,178: Throttle_brake -> 13.361501, Throttle --> 13.361501, Brake -> 0.000000, Steer -> 0.355458
[rosout][INFO] 2017-09-22 14:51:50,198: SpeedCurrent -> 0.932844, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,199: Throttle_brake -> 13.444350, Throttle --> 13.444350, Brake -> 0.000000, Steer -> 0.347228
[rosout][INFO] 2017-09-22 14:51:50,218: SpeedCurrent -> 0.928372, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,218: Throttle_brake -> 13.501059, Throttle --> 13.501059, Brake -> 0.000000, Steer -> 0.348645
[rosout][INFO] 2017-09-22 14:51:50,237: SpeedCurrent -> 0.926146, SpeedTarget --> 5.000000, SteerCurrent -> 0.413984, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,238: Throttle_brake -> 13.532530, Throttle --> 13.532530, Brake -> 0.000000, Steer -> 0.303652
[rosout][INFO] 2017-09-22 14:51:50,257: SpeedCurrent -> 0.926146, SpeedTarget --> 5.000000, SteerCurrent -> 0.413984, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,258: Throttle_brake -> 13.558259, Throttle --> 13.558259, Brake -> 0.000000, Steer -> 0.235365
[rosout][INFO] 2017-09-22 14:51:50,277: SpeedCurrent -> 0.926146, SpeedTarget --> 5.000000, SteerCurrent -> 0.413984, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,278: Throttle_brake -> 13.599618, Throttle --> 13.599618, Brake -> 0.000000, Steer -> 0.158243
[rosout][INFO] 2017-09-22 14:51:50,298: SpeedCurrent -> 0.919508, SpeedTarget --> 5.000000, SteerCurrent -> 1.594411, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,298: Throttle_brake -> 13.699263, Throttle --> 13.699263, Brake -> 0.000000, Steer -> -0.066582
[rosout][INFO] 2017-09-22 14:51:50,317: SpeedCurrent -> 0.917302, SpeedTarget --> 5.000000, SteerCurrent -> 0.309031, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,317: Throttle_brake -> 13.723307, Throttle --> 13.723307, Brake -> 0.000000, Steer -> -0.199765
[rosout][INFO] 2017-09-22 14:51:50,337: SpeedCurrent -> 0.915100, SpeedTarget --> 5.000000, SteerCurrent -> 0.179580, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,337: Throttle_brake -> 13.767915, Throttle --> 13.767915, Brake -> 0.000000, Steer -> -0.256895
[rosout][INFO] 2017-09-22 14:51:50,357: SpeedCurrent -> 0.915100, SpeedTarget --> 5.000000, SteerCurrent -> 0.179580, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,357: Throttle_brake -> 13.795102, Throttle --> 13.795102, Brake -> 0.000000, Steer -> -0.267674
[rosout][INFO] 2017-09-22 14:51:50,377: SpeedCurrent -> 0.915100, SpeedTarget --> 5.000000, SteerCurrent -> 0.179580, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,378: Throttle_brake -> 13.835818, Throttle --> 13.835818, Brake -> 0.000000, Steer -> -0.251708
[rosout][INFO] 2017-09-22 14:51:50,397: SpeedCurrent -> 0.908389, SpeedTarget --> 5.000000, SteerCurrent -> -0.064009, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,397: Throttle_brake -> 13.938826, Throttle --> 13.938826, Brake -> 0.000000, Steer -> -0.191246
[rosout][INFO] 2017-09-22 14:51:50,418: SpeedCurrent -> 0.906201, SpeedTarget --> 5.000000, SteerCurrent -> -0.868445, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:51:50,418: Throttle_brake -> 13.957415, Throttle --> 13.957415, Brake -> 0.000000, Steer -> -0.008979
[rosout][INFO] 2017-09-22 14:51:50,438: SpeedCurrent -> 0.904020, SpeedTarget --> 5.000000, SteerCurrent -> -0.189969, SteerTarget --> 0.221983
