[rospy.client][INFO] 2017-09-22 12:35:19,673: init_node, name[/dbw_node], pid[27780]
[xmlrpc][INFO] 2017-09-22 12:35:19,673: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-09-22 12:35:19,673: Started XML-RPC server [http://10.0.2.15:46391/]
[rospy.impl.masterslave][INFO] 2017-09-22 12:35:19,673: _ready: http://10.0.2.15:46391/
[xmlrpc][INFO] 2017-09-22 12:35:19,673: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2017-09-22 12:35:19,674: Registering with master node http://localhost:11311
[rospy.init][INFO] 2017-09-22 12:35:19,677: ROS Slave URI: [http://10.0.2.15:46391/]
[rospy.init][INFO] 2017-09-22 12:35:19,677: registered with master
[rospy.rosout][INFO] 2017-09-22 12:35:19,677: initializing /rosout core topic
[rospy.rosout][INFO] 2017-09-22 12:35:19,681: connected to core topic /rosout
[rospy.simtime][INFO] 2017-09-22 12:35:19,685: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-09-22 12:35:19,746: topic[/twist_cmd] adding connection to [http://10.0.2.15:41501/], count 0
[rospy.internal][INFO] 2017-09-22 12:35:19,888: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-09-22 12:35:20,080: topic[/vehicle/brake_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 12:35:20,081: topic[/vehicle/steering_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 12:35:20,081: topic[/vehicle/throttle_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 12:35:20,115: topic[/vehicle/dbw_enabled] adding connection to [http://10.0.2.15:35451/], count 0
[rospy.internal][INFO] 2017-09-22 12:35:20,116: topic[/current_velocity] adding connection to [http://10.0.2.15:35451/], count 0
[rosout][INFO] 2017-09-22 12:35:31,831: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,831: Throttle_brake -> -0.000008, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,854: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,854: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,870: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,871: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,890: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,891: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,910: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,910: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,930: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,931: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,950: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,951: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,970: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,971: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,990: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:31,991: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,010: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,011: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,030: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,030: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,050: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,051: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,070: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,070: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,090: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,091: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,110: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,110: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,130: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,132: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,150: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,151: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,171: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,171: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,191: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,192: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,210: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,210: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,231: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 12:35:32,231: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
