[rospy.client][INFO] 2017-09-22 13:35:15,049: init_node, name[/dbw_node], pid[32677]
[xmlrpc][INFO] 2017-09-22 13:35:15,049: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-09-22 13:35:15,049: Started XML-RPC server [http://10.0.2.15:34079/]
[rospy.impl.masterslave][INFO] 2017-09-22 13:35:15,050: _ready: http://10.0.2.15:34079/
[rospy.init][INFO] 2017-09-22 13:35:15,050: ROS Slave URI: [http://10.0.2.15:34079/]
[xmlrpc][INFO] 2017-09-22 13:35:15,050: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2017-09-22 13:35:15,050: Registering with master node http://localhost:11311
[rospy.init][INFO] 2017-09-22 13:35:15,150: registered with master
[rospy.rosout][INFO] 2017-09-22 13:35:15,150: initializing /rosout core topic
[rospy.rosout][INFO] 2017-09-22 13:35:15,152: connected to core topic /rosout
[rospy.simtime][INFO] 2017-09-22 13:35:15,153: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-09-22 13:35:15,181: topic[/twist_cmd] adding connection to [http://10.0.2.15:37113/], count 0
[rospy.internal][INFO] 2017-09-22 13:35:15,282: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-09-22 13:35:15,418: topic[/vehicle/brake_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 13:35:15,421: topic[/vehicle/throttle_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 13:35:15,422: topic[/vehicle/steering_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 13:35:15,501: topic[/vehicle/dbw_enabled] adding connection to [http://10.0.2.15:33503/], count 0
[rospy.internal][INFO] 2017-09-22 13:35:15,502: topic[/current_velocity] adding connection to [http://10.0.2.15:33503/], count 0
[rosout][INFO] 2017-09-22 13:35:29,977: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:29,978: Throttle_brake -> 46.817832, Throttle --> 46.817832, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:29,997: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:29,997: Throttle_brake -> 15.049105, Throttle --> 15.049105, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,017: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,017: Throttle_brake -> 15.098982, Throttle --> 15.098982, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,037: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,037: Throttle_brake -> 15.149034, Throttle --> 15.149034, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,057: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,057: Throttle_brake -> 15.198940, Throttle --> 15.198940, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,077: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,077: Throttle_brake -> 15.249095, Throttle --> 15.249095, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,097: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,097: Throttle_brake -> 15.299130, Throttle --> 15.299130, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,117: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,118: Throttle_brake -> 15.348635, Throttle --> 15.348635, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,137: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,137: Throttle_brake -> 15.399246, Throttle --> 15.399246, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,157: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,158: Throttle_brake -> 15.448888, Throttle --> 15.448888, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,177: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 13:35:30,177: Throttle_brake -> 15.499227, Throttle --> 15.499227, Brake -> 0.000000, Steer -> 0.000000
