[rospy.client][INFO] 2017-09-22 11:14:31,036: init_node, name[/dbw_node], pid[20325]
[xmlrpc][INFO] 2017-09-22 11:14:31,036: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-09-22 11:14:31,036: Started XML-RPC server [http://10.0.2.15:45729/]
[rospy.impl.masterslave][INFO] 2017-09-22 11:14:31,037: _ready: http://10.0.2.15:45729/
[rospy.init][INFO] 2017-09-22 11:14:31,037: ROS Slave URI: [http://10.0.2.15:45729/]
[rospy.registration][INFO] 2017-09-22 11:14:31,045: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2017-09-22 11:14:31,052: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-09-22 11:14:31,145: registered with master
[rospy.rosout][INFO] 2017-09-22 11:14:31,145: initializing /rosout core topic
[rospy.rosout][INFO] 2017-09-22 11:14:31,147: connected to core topic /rosout
[rospy.simtime][INFO] 2017-09-22 11:14:31,157: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2017-09-22 11:14:31,215: topic[/twist_cmd] adding connection to [http://10.0.2.15:46533/], count 0
[rospy.internal][INFO] 2017-09-22 11:14:31,429: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2017-09-22 11:14:31,470: topic[/vehicle/brake_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 11:14:31,471: topic[/vehicle/throttle_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 11:14:31,473: topic[/vehicle/steering_cmd] adding connection to [/styx_server], count 0
[rospy.internal][INFO] 2017-09-22 11:14:31,582: topic[/vehicle/dbw_enabled] adding connection to [http://10.0.2.15:36863/], count 0
[rospy.internal][INFO] 2017-09-22 11:14:31,583: topic[/current_velocity] adding connection to [http://10.0.2.15:36863/], count 0
[rosout][INFO] 2017-09-22 11:15:00,978: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:00,979: Throttle_brake -> -0.000007, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:00,998: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:00,999: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,019: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,019: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,038: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,039: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,059: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,059: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,079: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,079: Throttle_brake -> -0.000003, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,098: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,099: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,119: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,119: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,139: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,139: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,158: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,159: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,179: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,179: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,198: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,199: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,218: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,219: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,239: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,239: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,259: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,259: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,278: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,279: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,304: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,304: Throttle_brake -> -0.000002, Throttle --> 0.000000, Brake -> 0.000000, Steer -> 0.000000
[rosout][INFO] 2017-09-22 11:15:01,318: SpeedCurrent -> 0.000001, SpeedTarget --> 0.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.000000
